	7d	14d	21d	1m	2m	3m	6m	12m	mother
Acetate	15.51945	18.49345	19.73307	19.35779	29.81881	36.6337	40.05006	54.5965	41.25
Propionate	4.199058	5.50222	4.72357	6.01446	12.06212	17.13619	14.28017	14.4196	12.62
Acetate/Propionate	3.695936089	3.361088797	4.177575436	3.218541648	2.472103577	2.137797258	2.804592662	3.786270077	3.268621236
Butyrate	1.15282	3.31024	1.11031	1.70848	5.41412	5.96224	7.46331	8.2466	9.55
Isobutyrate 	0.27724	0.64022	0.40358	0.44321	0.42827	0.40505	0.44735	0.48241	0.65
Valerate	0.15322	0.73146	0.21323	0.44496	1.03133	1.33418	1.25978	0.74088	0.88
Isovalerate	0.33622	1.06143	0.45655	0.55399	0.58867	0.59253	0.74314	0.71391	0.92
Total volatile fatty acids	21.63800354	29.73902992	26.64031533	28.52289263	50.4416595	60.69483692	64.2438237	79.19993393	65.86996593
