Compounds	7d	14d	21d	1m	2m	3m	6m	12m	mo
"4-(2-Aminophenyl)-2,4-dioxobutanoic acid"	3.689368561	3.775591101	3.598869142	4.113422418	3.963631754	4.081658332	3.865486533	4.190488629	3.496790823
Indoleacetic acid	3.901025697	3.934859039	3.912058532	3.913439541	3.951765041	3.894046159	3.891565462	3.840546634	3.609763867
L-Tryptophan	5.704701041	5.772231468	5.74158014	5.731793049	5.714851432	5.715756351	5.649437961	5.699751206	5.399673336
Oxoadipic acid	3.589963059	3.756508011	3.765629139	3.835916873	3.801318216	3.245494446	3.198236127	3.236332064	3.363132165
N-(2-formylphenyl)formamide	3.344523823	3.479607522	3.546601089	3.564650267	3.594724172	3.247523457	3.447425245	3.498706469	3.34768624
L-Formylkynurenine	4.003440525	4.078841202	4.02384727	4.040816699	3.998018836	4.011327184	3.9877228	3.960130893	3.653273497
3-Methoxyanthranilate	3.205035375	3.422802078	3.228249543	3.421215271	3.756488065	3.881740364	4.057892665	3.987828401	3.729242792
N-Formyl-L-kynurenine	3.929686902	4.000077608	3.969173786	3.973388811	3.916977571	3.925750464	3.89889416	3.879688523	3.563695574
L-Valine	5.394127367	5.370376325	5.370353997	5.34076058	5.342222784	5.378836223	5.43885226	5.424074461	5.180762347
L-Histidine	4.660688057	4.326922743	4.125550052	4.107559503	3.848188357	4.073426732	4.23606588	4.186543144	4.959835019
Methionine	4.949394611	4.862105624	4.895975965	4.901354778	4.85542903	4.742627101	4.722853776	4.749651834	4.649237171
L-Tyrosine	5.771630341	5.817823169	6.014655935	5.880111845	5.834346873	5.793937433	5.792239018	5.769988988	5.624336159
L-Lysine	4.61409718	4.637078483	4.604693294	4.540134622	4.540451395	4.54924819	4.492934703	4.55258199	4.156002466
L-Aspartic acid	4.329616107	4.366258218	4.371480509	4.349886613	4.322982543	4.278189281	4.233567788	4.256752696	4.182025815
L-Proline	4.82030929	4.836341117	4.880809816	4.906364957	4.860312909	4.877028937	4.799732545	4.7515307	4.571493409
L-Tryptophan	5.704701041	5.772231468	5.74158014	5.731793049	5.714851432	5.715756351	5.649437961	5.699751206	5.399673336
L-Glutamic acid	4.700335838	4.629335419	4.624867694	4.569059985	4.52177446	4.277472337	4.257207458	4.23053325	4.268079439
Phosphoserine	2.944528385	3.057986946	3.357354451	3.024650885	3.072814455	3.323018074	3.435426005	3.279430608	3.157366221
L-Isoleucine	5.709980645	5.733457233	5.704902513	5.709080758	5.67741482	5.622871648	5.565701864	5.550720879	5.536423282
L-Tyrosine	5.771630341	5.817823169	6.014655935	5.880111845	5.834346873	5.793937433	5.792239018	5.769988988	5.624336159
L-Dopa	4.884246221	4.883816708	4.854212258	4.916629287	4.926696877	4.906390754	4.870967758	4.376986762	4.841778924
