	7d	14d	21d	1m	2m	3m	6m	12m
EC 4.2.1.20	2.017033339	1.973127854	2.133538908	2.068185862	2.093421685	2.117271296	2.220108088	2.264817823
EC 2.4.2.18	2.029383778	2	2.08278537	2.068185862	2.361727836	2.130333768	2.201397124	2.198657087
EC 2.7.1.71	2.093421685	2.152288344	2.250420002	2.212187604	2.290034611	2.336459734	2.436162647	2.394451681
EC 5.4.99.5	0.77815125	1.176091259	0.903089987	0.477121255	0.698970004	0.903089987	0.954242509	0.698970004
EC 2.6.1.57	1.602059991	1.544068044	1.812913357	1.505149978	1.380211242	1.301029996	1.342422681	1.176091259
EC 4.2.1.15	1.681241237	1.770852012	1.838849091	1.792391689	1.908485019	1.991226076	2.064457989	1.986771734
EC 1.3.1.43	1.146128036	0.698970004	1.041392685	0.77815125	0.602059991	0	0	0.1
EC 2.6.1.9	2.252853031	2.298853076	2.382017043	2.348304863	2.40654018	2.45331834	2.517195898	2.503790683
EC 3.5.1.16	1.875061263	1.812913357	1.939519253	1.986771734	2.06069784	2.096910013	2.238046103	2.250420002
